Entity Name,Definition
Sales Facts,Important measures that can later be utilized in the development of Key Performance Indicators (KPIs). 
Product,"Any type of good (shirt, pants, shoes, survival gear, etc.) that is sold at one of the two thousand GOAC retail store locations."
Customer,Any person or corporate organization that makes a purchase from a GOAC retail store location. 
Store,A retail facility where products are housed and displayed so customers can purchase said products. 
Time,A dimension that is utilized to monitor store and overall company efficiency
