Relationship Physical_Name,Comment
CUSTOMERS_SALES_FACTS,This is the relationship between how much money a customer spends on a product(s) and how many products they purchase in the store at any given time. 
PRODUCTS_SALES_FACTS,This is the relationship between the amount of products that are flowing throughout any given store at any given time. 
STORE_SALES_FACTS,The relationship that shows how valuable a retail store is to GOAC. 
TIME_SALES_FACTS,This is the relationship where the GOAC corporation can measure millions of different KPIs for upper management's needs. 
